idtov	name
A05	1 
E91	ФС-Цены
16W	Провод АППВ 2* 2,5
18P	Провод ППВ 2* 2,5
5CE	Трансф ОСМ-1 0,063 380/5-220
8OW	ЯЯ Муфта 4КВТп - (150-240)
8OX	ЯЯ Муфта 4КВТп -  (1-50)
8OY	ЯЯ Шкаф ПР 8503-2015-54ХЛ3
8OZ	ЯЯ Шкаф ПР 11М-310-5441
8P0	уд.Пояс ПП-Л-32 с наплечными набедренными лямками
8P1	ЯЯ ЯЯ удален!Диагностика инструмента
8P2	CARMEN Выкл-ль 1кл  СП крем. прох. 90562004 Vi-Ko
5CG	уд.Кнопка ПНВ 234 380V 10А
8P3	CARMEN Выкл-ль 2 кл СП крем. прох. 90562017 Vi-Ko
8P4	CARMEN Розетка 1м  СП крем. TF 90562013 Vi-Ko
8P5	CARMEN Розетка 2м  СП крем. TF 90562033 Vi-Ko
8P6	ЯЯ Св-к Д Полусфера стекло 100W Е27
8P7	Коробка протяжная метал. У-997 300*300*200
8P8	Коробка протяжная метал. У-998 400*400*200
8P9	ЯЯ SKIL Перфоратор 1703 АА
8PA	SKIL Набор ш.бумаги 2610390730  
8PB	SKIL Набор для дрели 2610392309 
8PC	SKIL Лобзик 4300 AG 
5CH	ЯЯ Трансф силовой ТМ 160/1041 160кW	
8PD	Насос-автомат Джилекс Джамбо 70/50 Н-24 
8PE	Насос-автомат Джилекс Джамбо 70/50 Н-50 
8PF	Насос-автомат Джилекс Джамбо 70/50 П-24 
8PG	Гидроаккумулятор Джилекс 24 ГМ  
8PH	Насос погружной Джилекс Водомет 3D 70/80
8PI	Эл.двигатель  3кW  750об/м. АИР 112МВ8 лапы 
8PJ	ЯЯ Сопло ZIP-TIP 425
8PK	Машина паркетошлифовальная СО-206 (380в)
8PL	SKIL Пила дисковая 5166 АС
8PM	Пила дисковая SKIL 5740 АА
5CI	ЯЯ Изолятор ТС 2
8PN	Дрель ударная SKIL 6280 AА
8PO	Перфоратор ВИХРЬ П-1000к  
8PP	Дрель ударная SKIL 6110LA 
8PQ	ЯЯ SKIL Машина шлифов. ленточн. 7620 АА 
8PR	Машина шлифов. ленточн.SKIL  7650 АА  
8PS	Термопистолет SKIL 8007	
8PT	Термопистолет SKIL  8005 MА 2000Вт t-600
8PU	Машина углошлиф SKIL 9004 АА 146383	
8PW	ЯЯ EINHELL Станок сверлильный 42.512.20 
8PX	ЯЯ EINHELL Станок сверлильный 42.505.30 
5CK	Св-к ПСХ/НПП 17-75 003 с реш.	
8PY	ЯЯ EINHELL Станок сверлильный 42.505.90 
8PZ	EINHELL Станок сверлильный 42.507.85  
8Q0	EINHELL Точило 44.124.00  
8Q1	EINHELL Точило 44.125.00  
8Q2	ЯЯ EINHELL Точило 44.126.00 
