CMDLINE /usr/bin/python3 beton.py
MEM 0.003906 1670773613.2886
MEM 16.683594 1670773613.3890
MEM 29.136719 1670773613.4894
MEM 42.667969 1670773613.5898
MEM 51.496094 1670773613.6903
MEM 59.683594 1670773613.7907
MEM 73.328125 1670773613.8910
MEM 87.460938 1670773613.9914
MEM 91.894531 1670773614.0918
MEM 99.613281 1670773614.1922
MEM 105.503906 1670773614.2927
MEM 113.312500 1670773614.3931
MEM 122.007812 1670773614.4935
MEM 127.277344 1670773614.5939
MEM 132.625000 1670773614.6943
MEM 140.613281 1670773614.7948
MEM 142.675781 1670773614.8953
MEM 147.812500 1670773614.9957
MEM 153.347656 1670773615.0960
MEM 153.410156 1670773615.1965
MEM 153.410156 1670773615.2973
MEM 153.410156 1670773615.3977
MEM 153.410156 1670773615.4985
MEM 153.410156 1670773615.5992
MEM 153.410156 1670773615.6999
MEM 153.410156 1670773615.8007
MEM 153.410156 1670773615.9013
MEM 153.410156 1670773616.0017
MEM 153.410156 1670773616.1022
MEM 153.410156 1670773616.2028
MEM 153.410156 1670773616.3034
MEM 153.410156 1670773616.4039
MEM 153.410156 1670773616.5045
MEM 153.410156 1670773616.6051
MEM 153.410156 1670773616.7056
MEM 153.410156 1670773616.8063
MEM 153.410156 1670773616.9067
MEM 153.410156 1670773617.0073
MEM 153.410156 1670773617.1080
MEM 153.410156 1670773617.2087
MEM 153.410156 1670773617.3097
MEM 153.410156 1670773617.4103
MEM 153.410156 1670773617.5112
MEM 153.410156 1670773617.6118
MEM 153.410156 1670773617.7125
MEM 153.410156 1670773617.8131
MEM 153.410156 1670773617.9137
MEM 153.410156 1670773618.0142
MEM 153.410156 1670773618.1147
MEM 153.410156 1670773618.2152
MEM 153.410156 1670773618.3160
MEM 153.410156 1670773618.4169
MEM 153.410156 1670773618.5177
MEM 153.410156 1670773618.6181
MEM 153.410156 1670773618.7201
MEM 153.410156 1670773618.8209
MEM 153.410156 1670773618.9215
MEM 153.410156 1670773619.0223
MEM 153.410156 1670773619.1228
MEM 153.410156 1670773619.2234
MEM 153.410156 1670773619.3240
MEM 153.410156 1670773619.4248
MEM 153.410156 1670773619.5254
MEM 153.410156 1670773619.6259
MEM 153.410156 1670773619.7267
MEM 153.410156 1670773619.8271
MEM 153.410156 1670773619.9276
MEM 153.410156 1670773620.0283
MEM 153.410156 1670773620.1288
MEM 153.410156 1670773620.2295
MEM 153.410156 1670773620.3302
MEM 153.410156 1670773620.4310
MEM 153.410156 1670773620.5316
MEM 153.410156 1670773620.6321
MEM 153.410156 1670773620.7327
MEM 153.410156 1670773620.8333
MEM 153.410156 1670773620.9337
MEM 153.410156 1670773621.0343
MEM 153.410156 1670773621.1349
MEM 153.410156 1670773621.2355
MEM 153.410156 1670773621.3361
MEM 153.410156 1670773621.4366
MEM 153.410156 1670773621.5373
MEM 153.410156 1670773621.6381
MEM 153.410156 1670773621.7389
MEM 153.410156 1670773621.8394
MEM 153.410156 1670773621.9401
MEM 153.410156 1670773622.0406
MEM 153.410156 1670773622.1412
MEM 153.410156 1670773622.2417
MEM 153.410156 1670773622.3425
MEM 153.410156 1670773622.4431
MEM 153.410156 1670773622.5437
MEM 153.410156 1670773622.6446
MEM 153.410156 1670773622.7456
MEM 153.410156 1670773622.8464
MEM 153.410156 1670773622.9470
MEM 153.410156 1670773623.0475
MEM 153.410156 1670773623.1482
MEM 153.410156 1670773623.2487
MEM 153.410156 1670773623.3493
MEM 153.410156 1670773623.4500
MEM 153.410156 1670773623.5505
MEM 153.410156 1670773623.6509
MEM 153.410156 1670773623.7513
MEM 153.410156 1670773623.8518
MEM 153.410156 1670773623.9522
MEM 153.410156 1670773624.0526
MEM 153.410156 1670773624.1532
MEM 153.976562 1670773624.2537
MEM 153.976562 1670773624.3545
MEM 153.976562 1670773624.4553
MEM 153.976562 1670773624.5563
MEM 153.976562 1670773624.6573
MEM 153.976562 1670773624.7581
MEM 153.976562 1670773624.8589
MEM 153.976562 1670773624.9595
MEM 153.976562 1670773625.0600
MEM 153.976562 1670773625.1606
MEM 153.976562 1670773625.2616
MEM 153.976562 1670773625.3623
MEM 153.976562 1670773625.4629
MEM 153.976562 1670773625.5633
MEM 153.976562 1670773625.6640
MEM 153.976562 1670773625.7646
MEM 153.976562 1670773625.8653
MEM 153.976562 1670773625.9658
MEM 153.976562 1670773626.0664
MEM 153.976562 1670773626.1671
MEM 153.976562 1670773626.2681
MEM 153.976562 1670773626.3691
MEM 153.976562 1670773626.4700
MEM 153.976562 1670773626.5706
MEM 153.976562 1670773626.6712
MEM 153.976562 1670773626.7718
MEM 153.976562 1670773626.8728
MEM 153.976562 1670773626.9735
MEM 153.976562 1670773627.0742
MEM 153.976562 1670773627.1750
MEM 153.976562 1670773627.2758
MEM 153.976562 1670773627.3764
MEM 153.976562 1670773627.4768
MEM 153.976562 1670773627.5777
MEM 153.976562 1670773627.6783
MEM 153.976562 1670773627.7789
MEM 153.976562 1670773627.8797
MEM 153.976562 1670773627.9805
MEM 153.976562 1670773628.0811
MEM 153.976562 1670773628.1816
MEM 153.976562 1670773628.2821
MEM 153.976562 1670773628.3830
MEM 153.976562 1670773628.4836
MEM 153.976562 1670773628.5841
MEM 153.976562 1670773628.6858
MEM 153.976562 1670773628.7865
MEM 153.976562 1670773628.8872
MEM 153.976562 1670773628.9880
MEM 153.976562 1670773629.0889
MEM 153.976562 1670773629.1895
MEM 153.976562 1670773629.2900
MEM 153.976562 1670773629.3906
MEM 153.976562 1670773629.4912
MEM 153.976562 1670773629.5917
MEM 153.976562 1670773629.6923
MEM 153.976562 1670773629.7931
MEM 153.976562 1670773629.8935
